,athlete_id,name,born_date,died_date,born_city,born_country,born_region,height_cm,weight_kg,NOC
26975,27172,Gärd Kristin Bengtsson,1970-01-12,,Stockholm,(SWE),Stockholm,169.0,65.0,(SWE)
26976,27173,Anna Julia Kristina Carlsson,1975-04-08,,Karlskrona,(SWE),Blekinge,,,(SWE)
26977,27174,Åsa Maria Jakobsson,1966-06-02,,Stånga,(SWE),Gotland,,,(SWE)
26978,27175,Maria Ulrika Kalte,1970-05-19,,,,,,,(SWE)
26979,27176,Anna Ulrika Karlsson (-Olsson),1970-10-14,,,,,174.0,74.0,(SWE)
26980,27177,Anna Maria Kun,1973-04-17,,Eskilstuna,(SWE),Södermanland,,,(SWE)
26981,27178,Hanna Carolina Ljungberg,1979-01-08,,Umeå,(SWE),Västerbotten,160.0,58.0,(SWE)
26982,27179,June Annika Nessvold (-Fridh),1971-02-24,,Värnamo,(SWE),Jönköping,,,(SWE)
26983,27180,Annelie Kristina Nilsson,1971-06-14,,Luleå,(SWE),Norrbotten,,,(SWE)
26984,27181,Anna Karin Severina Pohjanen,1974-01-25,,Umeå,(SWE),Västerbotten,,,(SWE)
26985,27182,Ann Cecilia Sandell,1968-06-10,,Karlskrona,(SWE),Blekinge,174.0,65.0,(SWE)
26986,27183,Pia Mariane Sundhage,1960-02-13,,Ulricehamn,(SWE),Västra Götaland,,,(SWE)
26987,27184,Camilla Marie Svensson (-Gustafsson),1969-01-20,,,,,,,(SWE)
26988,27185,Malin Swedberg,1968-09-15,,Stockholm,(SWE),Stockholm,171.0,58.0,(SWE)
26989,27186,Lena Mari Anette Videkull,1962-12-09,,,,,,,(SWE)
26990,27187,Jens Niclas Alexandersson,1971-12-29,,Halmstad,(SWE),Halland,181.0,74.0,(SWE)
26991,27188,Axel Alfredsson,1902-05-02,1966-08-09,Helsingborg,(SWE),Skåne,,,(SWE)
26992,27189,Sune Lison Almkvist,1886-02-04,1975-08-08,Uppsala,(SWE),Uppsala,,,(SWE)
26993,27190,Michael Östen Andersson,1959-08-24,,,,,182.0,76.0,(SWE)
26994,27191,Nils Adolf Andersson,1887-03-10,1947-08-15,,,,,,(SWE)
26995,27192,Otto August Andersson,1910-05-07,1977-08-11,,,,,,(SWE)
26996,27193,Patrik Jonas Andersson,1971-08-18,,,,,185.0,85.0,(SWE)
26997,27194,Sune Isidor Andersson,1921-02-22,2002-04-29,Södertälje,(SWE),Stockholm,,,(SWE)
26998,27195,Sven Tommy Andersson,1963-10-06,,Strömstad,(SWE),Västra Götaland,193.0,90.0,(SWE)
26999,27196,Karl Anselm Ansén,1887-07-26,1959-07-20,Stockholm,(SWE),Stockholm,,,(SWE)
27000,27197,Klas Filip Cheick Tidjane Apelstav (-Niang),1971-09-18,,,,,186.0,82.0,(SWE)
27001,27198,Lars Göran Mikael Arnberg,1957-08-01,,Borlänge,(SWE),Dalarna,190.0,82.0,(SWE)
27002,27199,Jonas Mikael Axeldahl,1970-09-02,,,,,176.0,74.0,(SWE)
27003,27200,Karl Oscar Vilhelm Bengtsson,1885-01-14,1972-10-13,,,,,,(SWE)
27004,27201,Sylve Boris Bengtsson,1930-07-02,2005-04-30,Halmstad,(SWE),Halland,,,(SWE)
27005,27203,Johan Erik Vitalis Eugén Bergström,1886-01-06,1966-01-30,,,,,,(SWE)
27006,27204,John Laurentius Gustaf Adolf Bergström,1884-07-04,1938-02-09,,,,,,(SWE)
27007,27205,Karl Rune Valerius Bergström,1891-09-05,1964-05-07,Stockholm,(SWE),Stockholm,,,(SWE)
27008,27206,Joachim Björklund,1971-03-15,,Växjö,(SWE),Kronoberg,185.0,80.0,(SWE)
27009,27207,Rolf Yngve Brodd,1930-06-09,2016-09-23,,,,,,(SWE)
27010,27208,Per Tomas Brolin (Eriksson-),1969-11-29,,Hudiksvall,(SWE),Gävleborg,178.0,75.0,(SWE)
27011,27209,Fritz Johan Charles Brommesson,1903-08-12,1978-09-01,Helsingborg,(SWE),Skåne,,,(SWE)
27012,27210,Erik Oskar Börjesson,1888-12-01,1983-07-17,,,,,,(SWE)
27013,27211,Josef Alfred Börjesson,1891-04-15,1971-02-20,,,,,,(SWE)
27014,27212,Gustaf Johannes Carlson,1894-07-22,1942-08-12,Stockholm,(SWE),Stockholm,,,(SWE)
27015,27213,Nils Gustav Henry Carlsson,1917-10-29,1999-05-28,Falköping,(SWE),Västra Götaland,,,(SWE)
27016,27214,Knut Herbert Carlsson,1896-09-08,1952-10-21,,,,,,(SWE)
27017,27215,Karl Viktor Carlund,1906-02-05,1985-02-22,,,,,,(SWE)
27018,27216,Karl Albin Dahl,1900-01-02,1980-02-15,Landskrona,(SWE),Skåne,,,(SWE)
27019,27217,Dan Martin Nataniel Dahlin,1968-04-16,,Lund,(SWE),Skåne,186.0,81.0,(SWE)
27020,27218,Erik Arvid Teofron Dahlström,1894-06-26,1953-10-30,Eskilstuna,(SWE),Södermanland,,,(SWE)
27021,27219,Jan Tomas Ekholm,1969-12-03,,Söderhamn,(SWE),Gävleborg,183.0,95.0,(SWE)
27022,27220,August Helge Ekroth,1892-02-26,1950-11-29,,,,,,(SWE)
27023,27221,Sven Arvid Emanuelsson,1913-12-25,1980-03-19,Borås,(SWE),Västra Götaland,,,(SWE)
27024,27222,Leif Håkan Ingemar Engkvist,1962-07-30,,Malmö,(SWE),Skåne,182.0,83.0,(SWE)
27025,27223,Hans Vimmo Eskilsson,1966-01-23,,Östersund,(SWE),Jämtland,183.0,90.0,(SWE)
27026,27224,Arvid Fagrell,1888-08-10,1932-12-06,Ulricehamn,(SWE),Västra Götaland,,,(SWE)
27027,27225,Åke Simon (-Oke Simon) Fjästad,1887-12-16,1956-03-10,Lidingö,(SWE),Stockholm,182.0,99.0,(SWE)
27028,27226,Sven Richard Friberg,1895-02-07,1964-05-26,Lysekil,(SWE),Västra Götaland,,,(SWE)
27029,27227,Götrik Wilhelm Adolf Frykman,1891-12-01,1948-04-07,Stockholm,(SWE),Stockholm,,,(SWE)
27030,27228,Karl Christer Fursth,1970-07-06,,Örebro,(SWE),Örebro,182.0,79.0,(SWE)
27031,27229,Karl-Erik Vilhelm Grahn,1914-11-05,1963-03-14,Jönköping,(SWE),Jönköping,,,(SWE)
27032,27230,Johan Gunnar Gren (Olsson-),1920-10-31,1991-11-10,,,,175.0,75.0,(SWE)
27033,27231,Niklas Lars Roger Gudmundsson,1972-02-29,,,,,179.0,76.0,(SWE)
27034,27232,Karl Johan Gustafsson,1888-09-16,1960-02-20,Köping,(SWE),Västmanland,,,(SWE)
27035,27233,Bengt Olov Emanuel Gustavsson,1928-01-13,2017-02-16,,,,,,(SWE)
27036,27234,Gustaf Åke Linus Hallman,1912-11-12,1973-06-21,Borås,(SWE),Västra Götaland,,,(SWE)
27037,27235,Holger Valdemar Hansson,1927-01-26,2014-01-17,,,,,,(SWE)
27038,27236,Jan Erik Hellström,1960-02-21,,Söderköping,(SWE),Östergötland,178.0,72.0,(SWE)
27039,27237,"Elof Fritjof Valentin ""Fritte"" Hillén",1893-05-19,1977-11-07,,,,,,(SWE)
27040,27238,Konrad Emanuel Nikolaus Hirsch,1900-05-27,1924-11-17,Eidskog,(NOR),Innlandet,,,(NOR)
27041,27239,Gunnar Josef Agaton Holmberg,1897-05-06,1975-10-21,,,,,,(SWE)
27042,27240,Urban Jesper Jansson,1971-01-08,,Växjö,(SWE),Kronoberg,187.0,82.0,(SWE)
27043,27241,Leif Magnus Johansson,1971-11-10,,,,,179.0,75.0,(SWE)
27044,27242,Torsten Henning Johansson,1906-01-17,1989-01-08,Norrköping,(SWE),Östergötland,,,(SWE)
27045,27243,Sven Gunner Jonasson,1909-07-09,1984-09-17,Borås,(SWE),Västra Götaland,,,(SWE)
27046,27244,Karl Gustaf Ragnvald Josefsson (-Reinsell),1916-02-16,1983-04-16,Stockholm,(SWE),Stockholm,,,(SWE)
27047,27245,Per Ludvig Gösta Kaufeldt,1902-08-01,1956-03-21,,,,,,(SWE)
27048,27246,Tore Bertil Gottfrid Keller,1905-01-04,1988-07-15,Norrköping,(SWE),Östergötland,,,(SWE)
27049,27247,"Rudolf Jonas Erikssson ""Putte"" Kock",1901-06-29,1979-10-31,Nacka,(SWE),Stockholm,,,(SWE)
27050,27248,Erik Ragnar Källström,1908-03-05,1997-01-16,Borås,(SWE),Västra Götaland,,,(SWE)
27051,27249,Stefan Olof Ragnar Landberg,1970-05-05,,Hultsfred,(SWE),Kalmar,183.0,81.0,(SWE)
27052,27250,Oscar Börje Leander,1918-03-07,2003-10-30,Avesta,(SWE),Dalarna,,,(SWE)
27053,27251,Jacob Levin (Hodisch-),1890-11-22,1945-12-10,Landskrona,(SWE),Skåne,177.0,81.0,(SWE)
27054,27252,Anders Walter Lidén,1887-03-10,1969-01-13,,,,,,(SWE)
27055,27253,Nils Erik Liedholm,1922-10-08,2007-11-05,Valdemarsvik,(SWE),Östergötland,,,(SWE)
27056,27254,Björn Thomas Lilius,1970-06-02,,Helsingborg,(SWE),Skåne,184.0,75.0,(SWE)
27057,27255,Anders Erik Limpar,1965-09-24,,Solna,(SWE),Stockholm,173.0,72.0,(SWE)
27058,27256,"Sigfrid Oskar ""Sigge"" Lindberg",1897-03-26,1977-01-04,Helsingborg,(SWE),Skåne,,,(SWE)
27059,27257,Torsten Gustav Adolf Lindberg,1917-04-14,2009-08-31,Nässjö,(SWE),Jönköping,,,(SWE)
27060,27258,"Gustaf Lennart ""Gösta"" Lindh",1924-02-08,1984-01-04,Örebro,(SWE),Örebro,,,(SWE)
27061,27259,Nils Hans Lindman,1884-09-06,1957-01-24,Uppsala,(SWE),Uppsala,,,(SWE)
27062,27260,Håkan Fred Ingvar Lindman,1961-11-27,,,,,186.0,87.0,(SWE)
27063,27261,Sven Bernhard Lindqvist,1903-03-26,1987-01-25,,,,,,(SWE)
27064,27262,Roger Ingemar Ljung,1966-01-08,,Lomma,(SWE),Skåne,187.0,81.0,(SWE)
27065,27263,Manne Valdus Lund,1895-04-04,1962-05-09,,,,,,(SWE)
27066,27264,Evert Viktor Lundquist,1900-02-27,1979-02-19,,,,,,(SWE)
27067,27265,Karl Gösta Herbert Löfgren,1923-08-29,2006-09-05,Motala,(SWE),Östergötland,,,(SWE)
27068,27266,Peter Roland Mikael Lönn,1961-07-13,,Norrköping,(SWE),Östergötland,190.0,77.0,(SWE)
27069,27267,Bror Teodor Malm,1889-10-23,1950-10-02,Stockholm,(SWE),Stockholm,,,(SWE)
27070,27268,Sten Robert Fredrik Mellgren,1900-08-28,1989-09-03,Oskarshamn,(SWE),Kalmar,,,(SWE)
27071,27269,Stig Håkan Mild,1971-06-14,,Trollhättan,(SWE),Västra Götaland,182.0,79.0,(SWE)
27072,27270,Herman Joel Myhrberg,1889-12-29,1919-08-09,,,,,,(SWE)
27073,27271,Erik Henry Sixten Nilsson,1916-08-06,1995-09-09,,,,,,(SWE)
27074,27272,Hans Peter Joakim Nilsson,1966-03-31,,Landskrona,(SWE),Skåne,183.0,80.0,(SWE)
27075,27273,Nils Lennart Roland Nilsson,1963-11-27,,Helsingborg,(SWE),Skåne,179.0,74.0,(SWE)
27076,27274,Karl Bertil Emanuel Nordahl,1917-07-26,1998-12-01,,,,,,(SWE)
27077,27275,Nils Gunnar Nordahl,1921-10-19,1995-09-15,,,,,,(SWE)
27078,27276,Knut Erik Alexander Nordahl,1920-01-13,1984-10-28,,,,,,(SWE)
27079,27277,Bertil Fredrik Eugene Nordenskjöld,1891-05-24,1975-03-17,,,,,,(SWE)
27080,27278,"Olof Sixten ""Olle"" Ohlsson (-Spongenberg)",1888-10-04,1962-07-21,Eskilstuna,(SWE),Södermanland,,,(SWE)
27081,27279,Sven Adam Albert Ohlsson,1888-02-14,1947-12-27,Örebro,(SWE),Örebro,,,(SWE)
27082,27280,Albert Julius Olsson,1896-11-28,1977-10-20,,,,,,(SWE)
27083,27281,Sven Arthur Olsson,1889-10-03,1919-05-19,,,,,,(SWE)
27084,27282,Anders Mikael Palmér,1960-04-24,,Malmö,(SWE),Skåne,174.0,65.0,(SWE)
27085,27283,Erik Persson,1909-11-19,1989-02-01,Stockholm,(SWE),Stockholm,,,(SWE)
27086,27284,Jan Stefan Rehn,1966-09-22,,Stockholm,(SWE),Stockholm,178.0,72.0,(SWE)
27087,27285,Kjell Bertil Gunnar Rosén,1921-04-24,1999-06-13,Malmö,(SWE),Skåne,,,(SWE)
27088,27286,Birger Eugen Rosengren,1917-10-29,1977-10-15,Norrköping,(SWE),Östergötland,,,(SWE)
27089,27287,Gustav Ingvar Rydell,1922-05-07,2013-06-20,,,,,,(SWE)
27090,27288,Sven Åke Albert Rydell,1905-01-14,1975-04-04,,,,,,(SWE)
27091,27289,Jonny Erik Gunnar Rödlund,1971-12-22,,,,,181.0,76.0,(SWE)
27092,27290,Torsten Lennart Samuelsson,1924-07-04,2012-11-27,,,,,,(SWE)
27093,27291,Gustaf Daniel Sandberg,1888-07-29,1956-02-08,,,,,,(SWE)
27094,27292,Gösta Oskar Leonard Sandberg,1932-08-06,2006-04-27,Knivsta,(SWE),Uppsala,,,(SWE)
27095,27293,Mauritz Sandberg,1895-11-15,1981-11-04,,,,,,(SWE)
27096,27294,Pascal Simpson,1971-05-04,,Lomé,(TOG),Maritime,192.0,95.0,(TOG)
27097,27295,Harry Fritz Klas Sundberg,1898-01-09,1945-05-16,Stockholm,(SWE),Stockholm,,,(SWE)
27098,27296,Karl Oskar Svensson,1925-11-11,2000-07-15,,,,,,(SWE)
27099,27297,Thorsten Roland Svensson,1901-10-08,1954-06-29,,,,,,(SWE)
27100,27298,Ivar Samuel Svensson,1893-11-07,1934-06-18,Norrköping,(SWE),Östergötland,,,(SWE)
27101,27299,Jonas Magnus Thern,1967-03-20,,Falköping,(SWE),Västra Götaland,183.0,80.0,(SWE)
27102,27300,Konrad Emanuel Törnqvist,1888-07-17,1952-07-12,Falköping,(SWE),Västra Götaland,,,(SWE)
27103,27301,Sulo Anders Vaattovaara,1962-07-18,,,,,181.0,77.0,(SWE)
27104,27302,Per Edgar Ragnar Wicksell,1892-09-26,1974-07-31,,,,,,(SWE)
27105,27303,Adolf Robert Zander,1895-09-18,1966-06-27,Luleå,(SWE),Norrbotten,,,(SWE)
27106,27304,"Sten Olov ""Olle"" Åhlund",1920-08-22,1996-02-11,Degerfors,(SWE),Örebro,,,(SWE)
27107,27305,Gustaf Albert Öijermark,1900-02-16,1970-07-09,Sundbyberg,(SWE),Stockholm,,,(SWE)
27108,27306,Anouar Abdul Kader,1953-01-11,,,,,,,
27109,27307,Fouad Aref,1954-08-05,,,,,,,
27110,27308,Riyadh Mohammed Asfahani,1952-03-13,,,,,,,
27111,27309,Samer Zuhair Assassa,1960-05-05,,,,,,,
27112,27310,Ahmed Eid Maher Beirakdar,1955-05-02,,,,,,,
27113,27311,Ahmed Jihad Chit,1954-08-06,,,,,,,
27114,27312,Mohamed Dahman,1959-05-08,,,,,,,(SYR)
27115,27313,Ahmed Haouache,1960-03-14,,,,,,,
27116,27314,Abdul Fattah Hawa,1954-02-23,,,,,,,
27117,27315,Omar Hojeir,1954-03-15,,,,,,,(SYR)
27118,27316,Mohamed Jazaeri,1958-02-18,,,,,,,
27119,27317,Mohammed Marwan Madrati,1959-03-18,,,,,,,(SYR)
27120,27318,Ibrahim Mahallame,1949-03-07,,,,,,,
27121,27319,Kevork Mardikian,1960-07-12,,Latakia,(SYR),Latakia,,,(SYR)
27122,27320,Elia Nabil Shana,1958-03-02,,,,,,,
27123,27321,Dušan Bartovič,1944-03-04,2020-04-01,Veľké Kostoľany,(SVK),Trnava,178.0,74.0,(SVK)
27124,27322,Jan Berger,1955-11-27,,,,,178.0,73.0,(CZE)
27125,27323,Jaroslav Boroš,1947-01-01,,Valaliky,(SVK),Košice,174.0,70.0,(SVK)
27126,27324,Josef Bouška,1945-08-25,,Trnava,(SVK),Trnava,172.0,69.0,(SVK)
27127,27325,Jan Brumovský,1937-06-26,,Levice,(SVK),Nitra,169.0,60.0,(SVK)
27128,27326,Josef Čapek,1902-08-01,1983-05-05,,,,,,(CZE)
27129,27327,Jaroslav Červený,1895-06-01,1950-05-04,,,,,,(CZE)
27130,27328,Ľudovít Cvetler,1938-09-17,,Bernolákovo,(SVK),Bratislava,171.0,69.0,(SVK)
27131,27329,Jaroslav Findejs,1943-09-25,,,,,173.0,71.0,(CZE)
27132,27330,Ján Geleta,1943-09-13,,Horné Motešice,(SVK),Trenčín,171.0,69.0,(SVK)
27133,27331,Miloš Herbst,1942-05-06,,Brno,(CZE),Jihomoravský kraj,186.0,78.0,(CZE)
27134,27332,František Hochman,1904-04-02,1986-03-04,,,,,,(CZE)
27135,27333,Antonín Hojer,1894-03-31,1964-10-21,,,,,,(CZE)
27136,27334,František Hojer,1895-01-21,1940-12-13,,,,,,(CZE)
27137,27335,Július Holeš,1939-03-18,2021-08-19,Košice,(SVK),Košice,187.0,84.0,(SVK)
27138,27336,Antonín Janda (Očko-),1892-09-21,1960-01-21,,,,,,(CZE)
27139,27337,Stanislav Jarábek,1938-12-09,,Suchá nad Parnou,(SVK),Trnava,182.0,81.0,(SVK)
27140,27338,Jozef Jarabinský,1944-03-12,,Jarabina,(SVK),Prešov,176.0,71.0,(SVK)
27141,27339,Josef Jelínek,1899-07-06,1973-01-10,,,,,,
27142,27340,Rudolf Klapka,1895-02-24,1951-09-11,Žižkov,(CZE),Hlavní město Praha,,,(CZE)
27143,27341,František Knebort,1944-01-19,,,,,177.0,76.0,(CZE)
27144,27342,Karel Knesl,1942-04-08,2020-09-03,Pustiměř,(CZE),Jihomoravský kraj,183.0,81.0,(CZE)
27145,27343,František Kolenatý,1900-01-29,1956-02-24,,,,,,(CZE)
27146,27344,Miroslav Kráľ,1947-11-02,,Topoľčany,(SVK),Nitra,171.0,75.0,(SVK)
27147,27345,Antonín Kramerius,1939-07-10,2019-01-15,,,,186.0,98.0,(CZE)
27148,27346,Mikuláš Krnáč,1947-02-15,,Ratka,(SVK),Banská Bystrica,182.0,81.0,(SVK)
27149,27347,Otto Krombholz,1899-02-03,,Třemošná,(CZE),Plzeňský kraj,,,(CZE)
27150,27348,František Kunzo,1954-09-17,,Spišský Hrušov,(SVK),Košice,175.0,70.0,(SVK)
27151,27349,Karel Lichtnégl,1936-08-30,2015-01-15,Hodonín,(CZE),Jihomoravský kraj,177.0,74.0,(CZE)
27152,27350,Werner Lička,1954-09-15,,Opava,(CZE),Moravskoslezský kraj,178.0,71.0,(CZE)
27153,27351,Josef Linhart,1944-05-15,,Kladno,(CZE),Středočeský kraj,177.0,73.0,(CZE)
27154,27352,Luděk Macela,1950-10-03,2016-06-16,Černolice,(CZE),Středočeský kraj,183.0,78.0,(CZE)
27155,27353,Paul Mahrer,1900-05-22,1985-12-16,Teplice,(CZE),Ústecký kraj,,,(CZE)
27156,27354,Vojtech Masný,1938-07-08,,Chynorany,(SVK),Trenčín,166.0,59.0,(SVK)
27157,27355,Štefan Matlák,1934-02-06,2003-04-12,Bratislava,(SVK),Bratislava,176.0,72.0,(SVK)
27158,27356,"Otakar ""Otto"" Mazal-Škvajn",1894-06-03,1941-09-12,Kladno,(CZE),Středočeský kraj,,,(CZE)
27159,27357,Josef Mazura,1956-04-23,,Vyškov,(CZE),Jihomoravský kraj,180.0,73.0,(CZE)
27160,27358,Ivan Mráz,1941-05-24,,Levoča,(SVK),Prešov,182.0,82.0,(SVK)
27161,27359,Peter Mutkovič,1945-10-19,,Bratislava,(SVK),Bratislava,170.0,70.0,(SVK)
27162,27360,Petr Němec,1957-06-07,,Ostrava,(CZE),Moravskoslezský kraj,173.0,73.0,(CZE)
27163,27361,Karel Nepomucký,1939-07-20,,,,,173.0,71.0,(CZE)
27164,27362,Jan Novák,1896-07-05,1968-04-10,Kladno,(CZE),Středočeský kraj,,,(CZE)
27165,27363,Josef Novák,1900-10-20,,Kladno,(CZE),Středočeský kraj,,,(CZE)
27166,27364,Otto Novák,1902-03-22,1984-10-15,Modřany,(CZE),Hlavní město Praha,,,(CZE)
27167,27365,Ladislav Pajerchin,1944-11-04,,Krásná Hôrka,(SVK),Žilina,175.0,71.0,(SVK)
27168,27366,Antonín Perner,1899-01-29,1973-11-26,,,,,,(CZE)
27169,27367,Snong Chaiyong,1947-08-19,,Nong Khai,(THA),Nong Khai,164.0,52.0,(THA)
27170,27368,Ladislav Petráš,1946-12-01,,Prievidza,(SVK),Trenčín,177.0,78.0,(SVK)
27171,27369,Karel Zdeněk Pičman,1933-01-23,2014-07-06,Příbram,(CZE),Středočeský kraj,173.0,73.0,(CZE)
27172,27370,Václav Pilát,1888-05-06,1971-01-28,,,,,,(CZE)
27173,27371,Jan Plaček,1894-10-05,1957-12-18,,,,,,(CZE)
27174,27372,Josef Pleticha,1902-02-10,1951-01-06,Kladno,(CZE),Středočeský kraj,,,(CZE)
27175,27373,"Lubomír ""Luboš"" Pokluda",1958-03-17,,Frýdek-Místek,(CZE),Moravskoslezský kraj,177.0,74.0,(CZE)
27176,27374,Miroslav Pospíšil,1890-09-27,,,,,,,(CZE)
27177,27375,Libor Radimec,1950-05-22,,Ostrava,(CZE),Moravskoslezský kraj,180.0,75.0,(CZE)
27178,27376,Oldřich Rott,1951-05-26,,Třebechovice pod Orebem,(CZE),Královéhradecký kraj,172.0,65.0,(CZE)
27179,27377,Zdeněk Rygel,1951-03-01,,Ostrava,(CZE),Moravskoslezský kraj,175.0,70.0,(CZE)
27180,27378,František Schmucker,1940-01-28,2004-07-15,Jarovce,(SVK),Bratislava,185.0,83.0,(SVK)
27181,27379,Josef Sedláček,1893-12-15,1985-01-15,,,,,,
27182,27380,Emil Seifert,1900-08-24,1973-10-20,,,,,,(CZE)
27183,27381,Josef Sloup,1897-12-19,,Plzeň,(CZE),Plzeňský kraj,,,(CZE)
27184,27382,Rudolf Sloup,1895-11-17,1936-09-07,Plzeň,(CZE),Plzeňský kraj,,,(CZE)
27185,27383,Zdeněk Šreiner,1954-06-02,2017-11-28,Ostrava,(CZE),Moravskoslezský kraj,181.0,76.0,(CZE)
27186,27384,František Štambacher,1953-02-13,,Čebín,(CZE),Jihomoravský kraj,177.0,71.0,(CZE)
27187,27385,Karel Steiner,1895-01-26,1934-04-29,,,,,,(CZE)
27188,27386,Pavel Stratil,1945-04-17,,Olomouc,(CZE),Olomoucký kraj,192.0,73.0,(CZE)
27189,27387,Stanislav Štrunc,1942-10-30,2001-11-08,Plzeň,(CZE),Plzeňský kraj,185.0,82.0,(CZE)
27190,27388,Anton Švajlen,1937-12-03,,Solčany,(SVK),Nitra,184.0,86.0,(SVK)
27191,27389,Jindřich Svoboda,1952-09-14,,Brno,(CZE),Jihomoravský kraj,181.0,78.0,(CZE)
27192,27390,Anton Urban,1934-01-16,2021-03-05,Kysak,(SVK),Košice,175.0,74.0,(SVK)
27193,27391,Rostislav Václavíček,1946-12-07,2022-08-07,Vrahovice,(CZE),Olomoucký kraj,190.0,87.0,(CZE)
27194,27392,František Valošek,1937-07-12,,Frýdek-Místek,(CZE),Moravskoslezský kraj,166.0,65.0,(CZE)
27195,27393,Jan Vaník,1892-04-11,1950-06-12,,,,,,(CZE)
27196,27394,Jiří Večerek,1943-08-04,2022-07-14,Ostrava,(CZE),Moravskoslezský kraj,169.0,69.0,(CZE)
27197,27395,Ladislav Vízek,1955-01-22,,Chlumec nad Cidlinou,(CZE),Královéhradecký kraj,174.0,74.0,(CZE)
27198,27396,Josef Vlček,1900-09-03,1970-01-25,,,,,,
27199,27397,Josef Vojta,1935-04-19,2023-03-06,Plzeň,(CZE),Plzeňský kraj,173.0,73.0,(CZE)
27200,27398,Vladimír Weiss,1939-09-21,2018-04-23,Vrútky,(SVK),Žilina,178.0,80.0,(SVK)
27201,27399,Stanislav Seman,1952-08-08,,Košice,(SVK),Košice,185.0,82.0,(SVK)
27202,27400,Kasem Baikam,1932-01-01,,,,,,,
27203,27401,Samruay Chaiyong,1933-02-12,2019-03-11,Nong Khai,(THA),Nong Khai,,,(THA)
27204,27402,Prateep Chermudhai,1923-01-01,,,,,,,
27205,27403,Sukit Chitranukhroh,1928-01-01,,,,,,,(THA)
27206,27404,Surapong Chutimawong,,,,,,,,
27207,27405,Sophon Hayachanta,1933-01-01,,,,,,,
27208,27406,Bumphen Luttimol,1930-09-21,2016-10-28,Ubon Ratchathani,(THA),Ubon Ratchathani,,,(THA)
27209,27407,"Laevivathana ""Vivat"" Milinthachinda",1923-02-05,,,,,,,(THA)
27210,27408,Praderm Muangkasem,1941-07-02,,Ayutthaya,(THA),Ayutthaya,172.0,61.0,(THA)
27211,27409,Suchart Mutugun,1934-04-07,,Ubon Ratchathani,(THA),Ubon Ratchathani,,,(THA)
27212,27410,Boonlert Nilpirom,1947-09-10,,,,,164.0,63.0,(THA)
27213,27411,Kriengsak Nukulsompratana,1948-06-15,,,,,172.0,68.0,(THA)
27214,27412,Chow On-Lam,1951-08-10,,,,,170.0,65.0,(THA)
27215,27413,Chatchai Paholpat,1952-11-30,,,,,169.0,54.0,(THA)
27216,27414,Suphot Panich,1936-07-20,,,,,169.0,63.0,(THA)
27217,27415,Saravuth Pathipakornchai,1950-04-10,,,,,170.0,66.0,(THA)
27218,27416,Chirawat Pimpawatin,1952-11-30,,,,,166.0,60.0,(THA)
27219,27417,Vichai Sangdhamkichakul,1947-08-22,,Samut Prakan,(THA),Samut Prakan,166.0,55.0,(THA)
27220,27418,Yongyuth Sangkagowit,1941-10-04,,,,,171.0,67.0,(THA)
27221,27419,Laenarong Sangkasuwan,1943-10-19,,,,,178.0,67.0,(THA)
27222,27420,Niwatana Sesawasdi,1949-08-19,,Phitsanulok,(THA),Phitsanulok,155.0,50.0,(THA)
27223,27421,Udomsilp Sornbudnark,1948-06-01,,Lop Buri,(THA),Lopburi,174.0,64.0,(THA)
27224,27422,Prasan Suvannasith,1933-10-07,2016-04-06,Songkhla,(THA),Songkhla,,,(THA)
27225,27423,Wanchai Suvaree,1931-01-01,,,,,,,
27226,27424,Narong Thongpleow,1947-09-29,,,,,168.0,57.0,(THA)
27227,27425,Paiboon Unyapo,1948-07-14,,Roi Et,(THA),Roi Et,162.0,58.0,(THA)
27228,27426,Kriengsak Vimolsate,1942-08-13,,,,,167.0,57.0,(THA)
27229,27427,Chan Fai-Hung,1932-05-05,2009-10-02,Hong Kong,(HKG),Hong Kong,171.0,61.0,(HKG)
27230,27428,Chow Shiu-Hung,1935-01-15,,Hong Kong,(HKG),Hong Kong,165.0,63.0,(HKG)
27231,27429,Kwok Kam-Hung,1934-05-13,,Hong Kong,(HKG),Hong Kong,166.0,62.0,(HKG)
27232,27430,Kwok Yau,1927-10-24,,,,,170.0,62.0,(MAC)
27233,27431,"Sheung-Yee ""Spencer"" Lam",1934-11-07,2009-04-23,Hong Kong,(HKG),Hong Kong,165.0,64.0,(HKG)
27234,27432,Lau Kin-Chung,1932-05-29,,Hong Kong,(HKG),Hong Kong,171.0,65.0,(HKG)
27235,27433,Lau Tim,1934-01-01,,Hong Kong,(HKG),Hong Kong,180.0,70.0,(HKG)
27236,27434,Law Pak,1933-05-25,,Hong Kong,(HKG),Hong Kong,172.0,70.0,(HKG)
27237,27435,Lo Kwok-Tai,1929-08-05,2013-09-01,Hong Kong,(HKG),Hong Kong,170.0,60.0,(HKG)
27238,27436,Mok Chun-Wah,1929-05-05,,Hong Kong,(HKG),Hong Kong,165.0,57.0,(HKG)
27239,27437,Wong Chi-Keung,1936-07-08,,,,,165.0,56.0,(CHN)
27240,27438,Wong Man-Wai,1943-03-10,,Hong Kong,(HKG),Hong Kong,167.0,56.0,(HKG)
27241,27439,Yiu Cheuk-Yin,1928-07-03,2008-02-01,,,,166.0,58.0,
27242,27440,Haithem Abid,1965-09-22,,,,,179.0,72.0,
